ORG_ID,DEPARTAMENTO_PAV,BANK_ACCOUNT_ID,BANK_ACCOUNT_NAME,BANK_ACCOUNT_NUM,RECEIPT_DATE,RECEIPT_NUMBER,ACTIVITY_ID,ACTIVITY_NAME,ACTIVITY_DESCRIPTION,ACT_IPLAUKU_SALTINIS,ACT_IPL_SALTINIO_PAV,ACT_IPL_SALTINIO_EIL_NR,ACT_IMOKOS_KODAS,ACT_EILES_NR,AMOUNT,RECEIPT_ID
1366,"Biudžeto skyrius EUR",99929,"32773 EUR biudž",LT954010042403632773,09-MAY-16,FC1384699318,5684,223K,"Nedetalizuotos pajamos",VMI,"Pajamos iš mokesčių inspekcijos",1,22K,,10423.92,2152275
1366,"Biudžeto skyrius EUR",99929,"32773 EUR biudž",LT954010042403632773,09-MAY-16,FC1384513773,5684,223K,"Nedetalizuotos pajamos",VMI,"Pajamos iš mokesčių inspekcijos",1,22K,,538031.72,2152270
1366,"Biudžeto skyrius EUR",99929,"32773 EUR biudž",LT954010042403632773,06-MAY-16,FC1382799981,5684,223K,"Nedetalizuotos pajamos",VMI,"Pajamos iš mokesčių inspekcijos",1,22K,,1313715.98,2151108
1366,"Biudžeto skyrius EUR",99929,"32773 EUR biudž",LT954010042403632773,05-MAY-16,FC1381742955,5684,223K,"Nedetalizuotos pajamos",VMI,"Pajamos iš mokesčių inspekcijos",1,22K,,27691.66,2150004
1366,"Biudžeto skyrius EUR",99929,"32773 EUR biudž",LT954010042403632773,05-MAY-16,FC1381733228,5684,223K,"Nedetalizuotos pajamos",VMI,"Pajamos iš mokesčių inspekcijos",1,22K,,372912.24,2150002
1366,"Biudžeto skyrius EUR",99929,"32773 EUR biudž",LT954010042403632773,04-MAY-16,FC1380675875,5684,223K,"Nedetalizuotos pajamos",VMI,"Pajamos iš mokesčių inspekcijos",1,22K,,424604.66,2149013
1366,"Biudžeto skyrius EUR",99929,"32773 EUR biudž",LT954010042403632773,04-MAY-16,FC1380671824,5684,223K,"Nedetalizuotos pajamos",VMI,"Pajamos iš mokesčių inspekcijos",1,22K,,267491.6,2149012
1366,"Biudžeto skyrius EUR",99929,"32773 EUR biudž",LT954010042403632773,03-MAY-16,FC1379907487,5684,223K,"Nedetalizuotos pajamos",VMI,"Pajamos iš mokesčių inspekcijos",1,22K,,719364.9,2148304
1366,"Biudžeto skyrius EUR",99929,"32773 EUR biudž",LT954010042403632773,03-MAY-16,FC1379896175,5684,223K,"Nedetalizuotos pajamos",VMI,"Pajamos iš mokesčių inspekcijos",1,22K,,2490060.15,2148303
1366,"Biudžeto skyrius EUR",99929,"32773 EUR biudž",LT954010042403632773,02-MAY-16,FC1378302819,5684,223K,"Nedetalizuotos pajamos",VMI,"Pajamos iš mokesčių inspekcijos",1,22K,,1008899.88,2147816
1366,"Biudžeto skyrius EUR",99929,"32773 EUR biudž",LT954010042403632773,02-MAY-16,FC1378291197,5684,223K,"Nedetalizuotos pajamos",VMI,"Pajamos iš mokesčių inspekcijos",1,22K,,2538481.57,2147814
1366,"Biudžeto skyrius EUR",99929,"32773 EUR biudž",LT954010042403632773,29-APR-16,FC1375637438,5684,223K,"Nedetalizuotos pajamos",VMI,"Pajamos iš mokesčių inspekcijos",1,22K,,195442.8,2145339
1366,"Biudžeto skyrius EUR",99929,"32773 EUR biudž",LT954010042403632773,29-APR-16,FC1375446355,5684,223K,"Nedetalizuotos pajamos",VMI,"Pajamos iš mokesčių inspekcijos",1,22K,,113888.11,2145337
1366,"Biudžeto skyrius EUR",99929,"32773 EUR biudž",LT954010042403632773,29-APR-16,FC1375442309,5684,223K,"Nedetalizuotos pajamos",VMI,"Pajamos iš mokesčių inspekcijos",1,22K,,265300.81,2145332
1366,"Biudžeto skyrius EUR",99929,"32773 EUR biudž",LT954010042403632773,29-APR-16,FC1375217089,5684,223K,"Nedetalizuotos pajamos",VMI,"Pajamos iš mokesčių inspekcijos",1,22K,,861813.23,2145331
