KODAS;PAVADINIMAS;GALIOJA;SUMINE;SUKURIMO_DATA;MODIFIKAVIMO_DATA
3001130;"Iš dalies subsidijuojami Vilniaus senamiesčio pastatų išorės (fasadų, stogų) remonto bei aplinkos tvarkymo darbai, išlikusių pastatų ar jų aplinkos autentikos, architektūros bei dailės vertybių išsaugojimas bei eksponavimas";Y;N;20-NOV-07;08-JUL-08
3001131;"Iš dalies subsidijuojami Vilniaus senamiesčio pastatų išorės (fasadų, stogų) remonto bei aplinkos tvarkymo darbai, išlikusių pastatų ar jų aplinkos autentikos, architektūros bei dailės vertybių išsaugojimas ir eksponavimas";Y;N;29-DEC-08;27-MAR-09
3001132;"Iš dalies subsidijuojami Vilniaus  senamiesčio pastatų išorės remonto bei aplinkos tvarkymo darbai, išlikusių pastatų ir jų aplinkos bei dalies vertybių išsaugojimas ir eksploatavimas";Y;N;29-DEC-08;29-DEC-08
3001140;"Pastatų tvarkymas";Y;N;20-NOV-07;30-MAR-09
3001141;"Pastatų tvarkymas (privatizavimo fondas))";Y;N;09-JUL-08;09-JUL-08
3001142;"Pastatų tvarkymas (skolintos lėšos)";Y;N;09-JUL-08;09-JUL-08
3001150;"Medinių pastatų Vilniaus mieste restauravimas";Y;N;20-NOV-07;08-JUL-08
3001160;"Dalies gynybinės sienos regeneravimas (S. Gucevičiaus g.)";Y;N;20-NOV-07;30-APR-08
3001161;"Dalies gynybinės sienos regeneravimas (S. Gucevičiaus g.) (privatizavimo fondas)";Y;N;01-JUL-08;01-JUL-08
3001162;"Gynybinės sienos rekonstrukcija";Y;N;29-DEC-08;29-DEC-08
3001170;"Sereikiškių parko pertvarkymo techninio projekto parengimas";Y;N;20-NOV-07;03-APR-09
3001171;"Sereikiškių (Bernardinų sodo) parko rekonstrukcijos projekto parengimui";Y;N;13-MAY-08;06-DEC-10
3001172;"Sereikiškių ir Kalnų  parkų pertvarkymas";Y;N;30-MAR-09;30-MAR-09
3001173;"Sereikiškių parko pertvarkymas";Y;N;10-JUL-09;10-JUL-09
3001174;"Kalnų  parko (Dainų slėnio) sutvarkymas";Y;N;10-JUL-09;10-JUL-09
3001175;"Sereikiškių parko rekonstrukcija (savivaldybės lėšos)";Y;N;06-OCT-09;06-OCT-09
3001176;"Sereikiškių parko rekonstrukcija";Y;N;18-FEB-10;18-FEB-10
3001180;"Rotušės aikštės fontanų įrengimas (skolintos lėšos)";Y;N;20-NOV-07;08-JUL-08
3001190;"Senamiesčio gatvių rekonstrukcija";Y;N;20-NOV-07;30-MAR-09
3001191;"Senamiesčio gatvių rekonstrukcija (skolintos lėšos)";Y;N;12-MAY-08;12-MAY-08
3001192;"Senamiesčio gatvių rekonstrukcija";Y;N;29-DEC-08;03-APR-09
3001193;"Senamiesčio gatvių rekonstrukcija (SB lėšos)";Y;N;21-NOV-17;21-NOV-17
3001194;"Senamiesčio gatvių rekonstrukcija (LL iš SB)";Y;N;21-FEB-19;21-FEB-19
3001200;"Malūnų g. pastato rekonstrukcijos projekto rengimas ir rekonstrukcija (skolintos lėšos)";Y;N;20-NOV-07;30-JAN-14
3001202;"Privažiuojamajai gatvei prie Konstitucijos pr. Nr. 14, 14A ir 8A rekonstruoti";Y;N;19-JUN-15;19-JUN-15
3001203;"Projektui ""Erfurto -Oslo viaduko kapitalinis remontas"" finansuoti";Y;N;19-JUN-15;19-JUN-15
3001204;"Šatrijos Raganos gatvei ir Saulėtekio alėjai rekonstruoti";Y;N;19-JUN-15;19-JUN-15
3001205;"Automobilių stovėjimo aikštelei VšĮ Vilniaus miesto klininkinės ligoninės teritorijoje, Antakalnio g. 57, Vilnius, įrengti";Y;N;19-JUN-15;30-JUN-15
3001206;"Salotės gatvės ruožui nuo Angelavos gatvės iki Vilniaus miesto ribos tiesti";Y;N;19-JUN-15;19-JUN-15
3001207;"Projektui „Geležinio Vilko, Žalgirio ir Linkmenų gatvių prie žemės sklypo kad. Nr.0101-0022:267 adresu Linkmenų g.22 Vilniaus mieste rekonstravimas“ finansuoti";Y;N;19-JUN-15;29-MAY-20
3001210;"Ašmenos g.8 pastato rekonstrukcijos projekto rengimas ir rekonstrukcija (Savivaldybės biudžetas)";Y;N;20-NOV-07;30-MAR-09
3001211;"Ašmenos g.8 pastato rekonstrukcijos projekto rengimas ir rekonstrukcija (Privatizavimo fondas)";Y;N;10-APR-08;03-APR-09
3001212;"Ašmenos g.8 pastato rekonstrukcijos projekto rengimas ir rekonstrukcija (Skolintos lėšos)";Y;N;10-APR-08;30-APR-08
3001215;"S.Lozoraičio g. ruožui nuo Džiaugsmo g. iki S.Šilingo g. tiesti - projekto  „Susisiekimo komunikacijos ir inžineriniai tinklai Džiaugsmo g. kvartale (sklypai nuo Nr.96-iki Nr. 110 ir nuo Nr. 131 iki Nr. 219) Vilniaus m.“ daliai finansuoti";Y;N;28-APR-16;17-JUN-20
3001217;"Lukiškių aikštės sutvarkymui (61 šalt.)";Y;N;27-JUL-18;27-JUL-18
3001218;"Lukiškių aikštės Vilniuje sutvarkymui";Y;N;28-APR-16;01-DEC-17
3001219;"Lukiškių aikštės fontano įrengimas";Y;N;31-JAN-17;31-JAN-17
3001220;"Prekybos paviljonų Pilies g.,Katedros a. ir Didžiojoje g. įrengimas (skolintos lėšos)";Y;N;20-NOV-07;29-JAN-14
3001221;"Linkmenų - Žalgirio-Geležinio Vilko g. rekonstrukcija (Paramos lėšos soc. infrastruktūros plėtrai)";Y;N;27-JAN-15;27-JAN-15
3001230;"IX transporto koridoriaus trūkstamosios grandies statyba - Vilniaus pietinis aplinkelis (ES Nr.2004/LT/16/C/PT/008) (ES lėšos)";Y;N;20-NOV-07;27-MAR-09
3001240;"IX transporto koridoriaus trūkstamosios grandies statyba - Vilniaus pietinis aplinkelis (ES Nr.2004/LT/16/C/PT/008) (valstybės biudžeto lėšos)";Y;N;20-NOV-07;27-MAR-09
3001250;"IX transporto koridoriaus trūkstamosios grandies statyba - Vilniaus pietinis aplinkelis (ES Nr.2004/LT/16/C/PT/008) (skolitnos lėšos)";Y;N;20-NOV-07;27-MAR-09
3001251;"IX transporto koridoriaus trūkstamosios grandies statyba - Vilniaus pietinis aplinkelis (ES Nr.2004/LT/16/C/PT/008) (privatizavimo fondas)";Y;N;10-APR-08;27-MAR-09
3001252;"IX transporto koridoriaus trūkstamosios grandies statyba - Vilniaus pietinis aplinkelis (ES Nr.2004/LT/16/C/PT/008) KF";Y;N;09-JUL-08;09-JUL-08
3001253;"IX transporto koridoriaus trūkstamosios grandies statyba - Vilniaus pietinis aplinkelis (ES Nr.2004/LT/16/C/PT/008) Valstybės Privatizavimo fondas";Y;N;09-JUL-08;09-JUL-08
3001254;"IXB transporto koridoriaus trūkstamos grandies statyba - Vilniaus pietinis aplinkkelis (ES Nr.2004/LT/16/C/PT/008) (projektavimas ir statyba) (savivaldybės biudžetas)";Y;N;04-FEB-10;04-FEB-10
3001256;"IXB transporto koridorius (Žirnių g.) jungties su Vilniaus tarptautiniu oro uostu projektavimas ir statyba (skolintos lėšos)";Y;N;15-MAY-13;15-MAY-13
3001257;"IXB transporto koridorius (Žirnių g.) jungties su Vilniaus tarptautiniu oro uostu projektavimas ir statyba (Savivaldybės biudžeto lėšos)";Y;N;20-FEB-12;20-FEB-12
3001258;"IXB transporto koridorius (Žirnių g.) jungties su Vilniaus tarptautiniu oro uostu projektavimas ir statyba (ES lėšos)";Y;N;15-FEB-13;15-FEB-13
3001259;"IXB transporto koridorius (Žirnių g.) jungties su Vilniaus tarptautiniu oro uostu projektavimas ir statyba (Valstybės biudžetas)";Y;N;15-FEB-13;15-FEB-13
3001260;"Geležinio Vilko g. tarp Goštauto g. ir Pietario g. rekonstrukcija ir G.Vilties g. rekonstrukcija";Y;N;20-NOV-07;30-APR-08
3001261;"Geležinio Vilko gatvės nuo A.Goštauto gatvės iki M.K.Čiurlionio gatvės rekonstravimas (skolintos lėšos)";Y;N;08-MAR-11;08-MAR-11
3001262;"Geležinio Vilko gatvės nuo A.Goštauto gatvės iki M.K.Čiurlionio gatvės rekonstravimas (ES lėšos)";Y;N;03-MAR-11;03-MAR-11
3001263;"Geležinio Vilko gatvės nuo A.Goštauto gatvės iki M.K.Čiurlionio gatvės rekonstravimas (Valstybės biudžeto lėšos)";Y;N;03-MAR-11;03-MAR-11
3001270;"Geležinio Vilko gatvės nuo Mokyklos gatvės iki Molėtų plento statyba (ES lėšos)";Y;N;20-NOV-07;30-APR-08
3001280;"Geležinio Vilko gatvės nuo Mokyklos gatvės iki Molėtų plento statyba (valstybės biudžeto lėšos)";Y;N;20-NOV-07;30-APR-08
3001290;"Geležinio Vilko gatvės nuo Mokyklos gatvės iki Molėtų plento statyba (skolintos lėšos)";Y;N;20-NOV-07;30-APR-08
3001300;"Ukmergės - Ateities ir Laisvės pr. rekonstrukcija (privatizavim)";Y;N;20-NOV-07;30-APR-08
3001301;"Ukmergės - Ateities ir Laisvės pr. rekonstrukcija (skolintos )";Y;N;10-APR-08;30-MAR-09
3001302;"Ukmergės g.,Ateities g. ir Laisvės pr.rekonstrukcija(kitos lėšos)";Y;N;12-MAY-08;20-APR-09
3001303;"Ukmergės - Ateities ir Laisves pr. rekonstrukcija - fakoringo sutarties finansavimo palukanos";Y;N;06-FEB-09;06-FEB-09
3001304;"Palūkanos už faktoringą ir paskolą pagal VMS Tarybos 2008.07.16 spr. Nr. 1-581";Y;N;18-MAR-09;18-MAR-09
3001305;"Palūkanos už faktoringą ir paskolą pagal VMS Tarybos 2008.07.16 spr. Nr. 1-581";Y;N;26-MAR-09;26-MAR-09
3001306;"Palūkanos už paimtą faktoringą ir paskolą pagal VMS Tarybos 2008-07-16 sprendimą Nr.1-581";Y;N;06-OCT-09;06-OCT-09
3001310;"Dariaus ir Girėno g. viaduko per geležinkelį su prieigomis rekonstrukcija (skolintos lėšos)";Y;N;20-NOV-07;30-APR-08
3001320;"Dariaus ir Girėno g. viaduko per geležinkelį su prieigomis rekonstrukcija (valstybės biudžeto lėšos)";Y;N;20-NOV-07;30-APR-08
3001330;"Dariaus ir Girėno g. viaduko per geležinkelį su prieigomis rekonstrukcija (ES lėšos)";Y;N;20-NOV-07;30-APR-08
3001334;"Magistralinės gatvės nuo kelio į Pilaitę iki Papilėnų gatvės ir   viaduko statyba (savivaldybės lėšos)";Y;N;07-OCT-09;07-OCT-09
3001335;"Magistralinės gatvės nuo kelio į Pilaitę iki Papilėnų gatvės ir viaduko statyba";Y;N;29-DEC-08;03-APR-09
3001336;"Magistralinės gatvės nuo kelio į Pilaitę iki Papilėnų gatvės ir viaduko statyba";Y;N;31-MAR-09;31-MAR-09
3001340;"Tarptautinės dviračių turizmo trasos ""Eurovelo-11""įrengimas Vilniaus mieste (projektavimas ir statyba (Valstybės biudžeto lėšos)";Y;N;20-NOV-07;30-JAN-14
3001345;"Bokšto, Savičiaus ir Išganytojo gatvėms kapitališkai remontuoti";Y;N;28-APR-16;28-APR-16
3001350;"Tarptautinės dviračių turizmo trasos ""Eurovelo-11""įrengimas Vilniaus mieste (ES lėšos)";Y;N;20-NOV-07;30-JAN-14
3001351;"Vilniaus gatvės ruožui nuo Gedimino prospekto iki Islandijos gatvės kapitališkai remontuoti";Y;N;28-APR-16;28-APR-16
3001360;"Tarptautinės dviračių turizmo trasos ""Eurovelo-11""įrengimas Vilniaus mieste (Skolintos lėšos)";Y;N;20-NOV-07;30-APR-08
3001361;"Tarptautinės dviračių turizmo trasos ""Eurovelo-11""įrengimas Vilniaus mieste (privatizavimo fondas)";Y;N;10-APR-08;19-APR-11
3001362;"Tarptautinės dviračių turizmo trasos ""Eurovelo-11""įrengimas Vilniaus mieste (savivaldybės biudžetas)";Y;N;09-JUL-08;09-JUL-08
3001370;"Gedimino prospekto rekonstrukcija (projektavimas ir statyba, III etapas) (skolintos lėšos)";Y;N;20-NOV-07;03-APR-09
3001371;"Gedimino prospekto rekonstrukcija (projektavimas ir statyba, III etapas)kelių fondas";Y;N;09-JUL-08;09-JUL-08
3001372;"Gedimino prospekto rekonstrukcija (projektavimas ir statyba III  etapas)";Y;N;29-DEC-08;29-DEC-08
3001373;"Gedimino prospekto rekonstrukcija (projektavimas ir statyba, III etapas)";Y;N;29-DEC-08;27-MAR-09
3001374;"Gedimino prospekto rekonstrukcija (projektavimas ir statyba, III etapas)";Y;N;26-MAR-09;11-MAY-09
3001380;"Eišiškių plento  rekonstrukcija";Y;N;20-NOV-07;08-JUL-08
3001381;"Eišiškių plento  rekonstrukcija (kelių priežiūros ir plėtros programos lėšos)";Y;N;20-NOV-07;08-JUL-08
3001390;"Pilaitės prospekto statyba (skolintos)";Y;N;20-NOV-07;03-APR-09
3001398;"Dumblo apdorojimo įrenginiai Vilniaus nuotekų valykloje (ES lėšos)";Y;N;30-DEC-10;30-DEC-10
3001399;"Dumblo apdorojimo įrenginiai Vilniaus nuotekų valykloje (Valstybės lėšos)";Y;N;30-DEC-10;30-DEC-10
3001400;"Valakupių tilto remontas (kelių priežiūros ir plėtros programos lėšos)";Y;N;20-NOV-07;20-OCT-10
3001401;"Valakupių tilto remontas (skolintos lėšos)";Y;N;20-NOV-07;08-JUL-08
3001410;"Teritorijos tarp Ozo g. Kalvarijų g. Geležinio vilko ir Šiaurinės g. transporto infrastruktūros išvystymas (privatizavimo fondo lėšos)";Y;N;20-NOV-07;08-JUL-08
3001411;"Teritorijos tarp Ozo g. Kalvarijų g. Geležinio vilko ir Šiaurinės g. transporto infrastruktūros išvystymas (skolintos lėšos)";Y;N;20-NOV-07;30-APR-08
3001412;"Teritorijos tarp Ozo g. Kalvarijų g. Geležinio vilko ir Šiaurinės g. transporto infrastruktūros išvystymas (privatizavimo fonsas)";Y;N;12-MAY-08;12-MAY-08
3001413;"Teritorijos tarp Ozo g. Kalvarijų g. Geležinio vilko ir Šiaurinės g. transporto infrastruktūros išvystymas (kitos savivaldybės biudžeto lėšos)";Y;N;12-MAY-08;12-MAY-08
3001414;"Vilniaus miesto susisiekimo infrastruktūros vystymas (priežiūra, remontas, rekonstrukcija)";Y;N;12-MAY-08;11-DEC-17
3001415;"Vilniaus miesto susisiekimo infrastruktūros vystymas (priežiūra, remontas, rekonstrukcija) (savivaldybės biudžetas)";Y;N;03-MAR-11;26-APR-18
3001416;"Vilniaus susisiekimo infrastruktūros statyba, remontas ir rekonstrukcija";Y;N;04-FEB-15;04-FEB-15
3001417;"Vilniaus miesto susisiekimo infrastruktūros vystymas (priežiūra, remontas, rekonstrukcija) (Specialioji tikslinė dotacija)";Y;N;17-APR-15;01-OCT-20
3001418;"Vilniaus miesto susisiekimo infrastruktūros vystymas (priežiūra, remontas, rekonstrukcija) (Specialioji tikslinė dotacija)";Y;N;07-JUL-17;07-JUL-17
3001419;"Birutės gatvės dangos rekonstrukcija";Y;N;07-DEC-10;07-DEC-10
3001420;"Vilniaus miesto susisiekimo infrastruktūros vystymas (kelių priežiūros ir plėtros programos lėšos)";Y;N;20-NOV-07;08-SEP-09
3001421;"Triukšmą mažinančios priemonės (KF)";Y;N;04-MAY-09;04-MAY-09
3001422;"Moksliniai tyrimai transporto srityje (KF)";Y;N;04-MAY-09;04-MAY-09
3001423;"Vilniaus miesto susisiekimo infrastruktūros vystymas (priežiūra, remontas, rekonstrukcija) (61 šalt.)";Y;N;27-JUL-18;27-JUL-18
3001424;"Vilniaus miesto susisiekimo infrastruktūros vystymas (priežiūra, remontas, rekonstrukcija)";Y;N;06-NOV-18;06-NOV-18
3001425;"Vilniaus miesto susisiekimo infrastruktūros vystymas (priežiūra, remontas, rekonstrukcija) (30 šalt.)";Y;N;06-AUG-19;06-AUG-19
3001426;"Vilniaus miesto susisiekimo infrastruktūros vystymas (priežiūra, remontas, rekonstrukcija) (67 šalt.)";Y;N;03-FEB-20;03-FEB-20
3001427;"Vilniaus miesto susisiekimo infrastruktūros vystymas (priežiūra, remontas, rekonstrukcija) (24 šalt.)";Y;N;31-JUL-20;31-JUL-20
3001428;"Susisiekimo komunikacijų rekonstravimo/kapitalinio remonto darbams apmokėti";Y;N;27-OCT-20;27-OCT-20
3001429;"Vilniaus miesto kapinių statinių remontas ir plėtimas (Savivaldybės biudžetas)";Y;N;03-MAR-11;03-MAR-11
3001430;"Vilniaus miesto kapinių statinių remontas ir plėtimas";Y;N;20-NOV-07;03-APR-09
3001431;"Vilniaus miesto kapinių statinių remontas ir plėtimas (Skolintos lėšos)";Y;N;02-APR-09;03-APR-09
3001432;"Vilniaus miesto kapinių statinių remontas ir plėtimas (TA)";Y;N;27-JUN-18;27-DEC-19
3001435;"Vilniaus miesto kapinių statinių remontas ir plėtimas";Y;N;15-DEC-15;15-DEC-15
3001436;"Perkūnkiemio skvero įrengimas";Y;N;26-MAY-21;26-MAY-21
3001437;"Vilniaus miesto susisiekimo infrastruktūros vystymas (priežiūra, remontas, rekonstrukcija)";Y;N;03-FEB-21;03-FEB-21
3001438;"Šviesoforais reguliuojamos Pilaitės pr., Čekoniškių, Zujūnų ir Gilužio gatvių sankryžos įrengimui";Y;N;03-MAY-21;03-MAY-21
3001439;"Stelos Sausio 13-ąją nukentėjusiųjų atminimui įamžinti pagaminimui ir pastatymui";Y;N;22-SEP-20;22-SEP-20
3001440;"Rasų kapinių centrinės koplyčios restauravimo darbai (privatizavimo fondas)";Y;N;14-MAR-08;03-APR-09
3001441;"Rasų kapinių centrinės koplyčios restauravimo darbai";Y;N;30-MAR-09;30-MAR-09
3001450;"Bendro naudojimo komunalinių statinių remontas ir rekonstrukcija senamiestyje (Viešojo tualeto įrengimas (projektavimas ir statyba) Gedimino kalno papėdės skvere (B.Radvilaitės g.) ir kiti) (savivaldybės biudžetas)";Y;N;14-MAR-08;03-APR-09
3001451;"Bendro naudojimo komunalinių statinių remontas ir rekonstrukcija senamiestyje (Viešojo tualeto įrengimas (projektavimas ir statyba) Gedimino kalno papėdės skvere (B.Radvilaitės g.) ir kiti) (privatizavimo fondas)";Y;N;09-JUL-08;03-APR-09
3001452;"Bendro naudojimo komunalinių statinių remontas ir rekonstrukcija senamiestyje (Viešojo tualeto įrengimas (projektavimas ir statyba) Gedimino kalno papėdės skvere (B.Radvilaitės g.) ir kiti) (skolintos lėšos)";Y;N;09-JUL-08;09-JUL-08
3001460;"Vilniaus senamiesčio skverų tvarkymas (J.Ivanauskaitės atminimo įamžinimui skveras Aguonų g., Lazdynų pelėdos skveras Arklių g., Stuokos Gucevičiaus skvero patvarkymas  ir kiti)";Y;N;14-MAR-08;03-APR-09
3001470;"VšĮ respublikinės tuberkuliozės ir infekcinių ligų universitetinės ligoninės teritorijos aptvėrimui bei metalinių durų remontui (savivaldybės biudžetas)";Y;N;14-MAR-08;08-JUL-08
3001471;"VšĮ respublikinės tuberkuliozės ir infekcinių ligų universitetinės ligoninės teritorijos aptvėrimui bei metalinių durų remontui (skolintos lėššos)";Y;N;10-APR-08;30-APR-08
3001472;"Bendro naudojimo komunalinių statinių remontas ir rekonstrukcija senamiestyje";Y;N;10-APR-08;08-JUL-08
3001473;"Vilniaus senamiesčio skverų tvarkymas";Y;N;10-APR-08;08-JUL-08
3001474;"Rasų kapinių centrinės koplyčios restauravimo darbai";Y;N;10-APR-08;30-APR-08
3001477;"Sacharovo aikštės sutvarkymas";Y;N;03-FEB-21;03-FEB-21
3001479;"Lukiškių aikštės sutvarkymo darbai su techninio darbo projekto parengimu ir projekto vykdymo priežiūra (I etapas)";Y;N;03-FEB-21;03-FEB-21
3001480;"Paminklas politiniams kaliniams ir tremtiniams Karveliškių kapinėse (190)";Y;N;14-MAR-08;30-MAR-09
3001481;"Poilsio zonos Justiniškėse Taikos g tvarkymo darbams atlikti ( valstybės 700,0)";Y;N;10-APR-08;30-APR-08
3001482;"Vingio parko prieigų tvarkymas , pasirengimas Vilnius Europos kultūros sostinė 2009 (skolintos 1500,0)";Y;N;10-APR-08;08-JUL-08
3001483;"Geležinio Vilko g.rekonstrukcija; G.Vilko nuo Goštauto g. ir Čiurlionio rekonstrukcija;Ukmergės g. G.Vilko g. Žalgirio g. dviejų lygių sankryžų rek.; Geležinio Vilko g tarp Goštauto g. ir Pietario g. rek. ir G.Vilties g. rek.";Y;N;10-APR-08;08-MAR-11
3001484;"Vingio parko prieigų tvarkymas , pasirengimas Vilnius Europos kultūros sostinė 2009 (Kelių priežiūros ir plėtros progr.)";Y;N;08-JUL-08;08-JUL-08
3001485;"Vingio parko estrados stogo remontas(ekspertizei atlikti ir techniniam projektui parengti)";Y;N;29-DEC-08;29-DEC-08
3001486;"Vingio  parko prieigų tvarkymas, pasirengimas programai „Vilnius-Europos kultūros sostinė 2009“";Y;N;30-MAR-09;30-MAR-09
3001487;"Vingio parko prieigų tvarkymas, pasirengimas programai ""Vilnius - Europos kultūros sostinė 2009""";Y;N;10-JUL-09;10-JUL-09
3001488;"Lukiškių aikštės sutvarkymui";Y;N;24-FEB-16;27-DEC-19
3001489;"Neries krantinės sutvarkymui";Y;N;24-FEB-16;24-FEB-16
3001490;"Vingio parko prieigų tvarkymas, pasirengimas Vilnius - Europos kultūros sostinė 2009";Y;N;14-MAR-08;11-JAN-18
3001491;"Lukiškių aikštės sutvarkymas";Y;N;30-DEC-15;30-DEC-15
3001492;"Baseino infrastruktūros prie A.Kulviečio mokyklos sutvarkymui";Y;N;23-FEB-16;23-FEB-16
3001493;"110 kw orinės elektros perdavimo linijos pakeitimas kabeline nuo  Ozo g. iki Šiaurinės g. projektavimas";Y;N;24-FEB-16;24-FEB-16
3001495;"110 kw orinės elektros perdavimo linijos pakeitimas kabeline nuo  Ozo g. iki Šiaurinės g. (ES lėšos)";Y;N;15-FEB-13;15-FEB-13
3001496;"110 KW orinės elektros perdavimo linijos pakeitimas kabeline nuo Ozo g. iki Šiaurinės g. (Skolintos lėšos)";Y;N;04-FEB-15;04-FEB-15
3001497;"110 KV orinės elektros perdavimo linijos pakeitimas kabeline (Pagal taikos sutartį Savivaldybės skoliniams įsipareigojimams grąžinti (dotacijos)";Y;N;09-DEC-16;09-DEC-16
3001498;"Neries krantinės sutvarkymui (Paramos lėšos soc.infrastruktūros plėtrai)";Y;N;13-FEB-17;13-FEB-17
3001499;"Vingio parko estrados kapitalinis remontas (61 šalt.)";Y;N;22-JAN-19;22-JAN-19
3001500;"Poilsio zonos Justiniškėse Taikos g. tvarkymo darbams atlikti";Y;N;14-MAR-08;19-FEB-10
3001501;"110 KV orinės elektros perdavimo linijos pakeitimas kabeline (skolintos lėšos)";Y;N;03-MAR-11;03-MAR-11
3001502;"110 kw orinės elektros perdavimo linijos pakeitimas kabeline nuo L.Asanavičiūtės g. iki Ozo g.  (ES lėšos)";Y;N;03-MAR-11;03-MAR-11
3001503;"110 KV orinės elektros perdavimo linijos pakeitimas kabeline (delspinigiai ir baudos)(savivaldybės biudžetas)";Y;N;29-JAN-14;29-JAN-14
3001504;"110 KW orinės elektros perdavimo linijos pakeitimas kabeline (Privatizavimo fondo lėšos)";Y;N;03-FEB-14;03-FEB-14
3001505;"Vingio parko estrados kapitalinis remontas (13)";Y;N;18-OCT-19;18-OCT-19
3001506;"Vingio parko pastato remontas ir pritaikymas visuomenės sveikatos biuro reikmėms";Y;N;31-DEC-19;31-DEC-19
3001507;"Vilniaus miesto darnaus judumo plano rengimas";Y;N;26-OCT-17;26-OCT-17
3001508;"Vilniaus miesto darnaus judumo plano rengimas";Y;N;06-SEP-17;06-SEP-17
3001509;"Vilniaus miesto darnaus judumo plano rengimas";Y;N;24-FEB-16;24-FEB-16
3001510;"Vilniaus Vakarinio aplinkkelio, paraiškų ir projektų finansavimui iš ES fondų, techninės dokumentacijos rengimui";Y;N;14-MAR-08;12-MAY-08
3001511;"Vilniaus istorinių Rasų kapinių inventorizavimas, koplyčių, tvorų, atskirų paminklų tvarkyba";Y;N;24-FEB-16;27-DEC-19
3001512;"Vilnios pakarančių tvarkymas Pietinėje tikslinėje teritorijoje, įrengiant reikiamą rekreacinę infrastruktūrą, dviračių, pėsčiųjų takus, pėsčiųjų tiltą. Paplaujos rekreacinės zonos su maudykla ir pliažu įrengimas";Y;N;24-FEB-16;24-FEB-16
3001513;"Žirmūnų dviračių  trasų, jų jungčių, saugos ir kitos infrastruktūros įrengimas palei Ozo, P. Lukšio, Apkasų, Ulonų ir Žirmūnų gatves (4,8 km)";Y;N;24-FEB-16;24-FEB-16
3001514;"Žvėryno dviračių trasų, jų jungčių, saugos ir kitos infrastruktūros įrengimas palei A. Mickevičiaus, Birutės, Lenktąją, Latgalių, Paribio, Pieninės, Saltoniškių, Liepyno ir T. Narbuto gatves (5,1 km)";Y;N;24-FEB-16;24-FEB-16
3001515;"Valstybinio Sapiegų parko tvarkymas ir pritaikymas lankymui ir tausojančiam naudojimui";Y;N;24-FEB-16;24-FEB-16
3001516;"Žirmūnų rekreacinių dviračių trasų, jų jungčių, saugos ir kitos infrastruktūros įrengimas palei Žalgirio, Minties, Rinktinės gatves (4,7 km.)";Y;N;24-FEB-16;24-FEB-16
3001517;"Aukštaičių ir Paupio gatvių rekonstravimas su įvažiavimu į Drujos gatvę";Y;N;24-FEB-16;30-AUG-17
3001518;"Centrinės gatvės bulvaro su rekreacine įranga įrengimas";Y;N;24-FEB-16;24-FEB-16
3001519;"Dviračių turizmo trasų ir maršrutų (jungčių su Trakų ir Vilniaus rajonų savivaldybėmis) ženklinimas (įgyvendinama su Vilniaus, Trakų, Širvintų rajonų savivaldybėmis)";Y;N;24-FEB-16;24-FEB-16
3001520;"Įvažiavimų į miestą sutvarkymas, pasirengimas Vilnius - Europos kultūros sostinė 2009";Y;N;14-MAR-08;12-MAY-08
3001521;"Viešojo ekologiško transporto plėtra";Y;N;24-FEB-16;27-DEC-19
3001522;"Elektromobilių įkrovos aikštelių įrengimas";Y;N;24-FEB-16;27-DEC-19
3001523;"Giedraičių g. rekonstravimas įrengiant modernias eismo saugos priemones";Y;N;24-FEB-16;27-DEC-19
3001524;"Kernavės g. nuo Žalgirio g. iki Lvovo g. rekonstrukcija, įrengiant modernias eismo saugos priemones";Y;N;24-FEB-16;27-DEC-19
3001525;"Gamtinės Neries senvagės kraštovaizdžio arealų būklės atkūrimas (tarp Linkmenų ir Geležinio Vilko gatvių)";Y;N;24-FEB-16;24-FEB-16
3001526;"Kompleksinis gyvenamojo rajono kvartalo Žirmūnų, Minties, Tuskulėnų gatvių trikampyje, toliau – „Žirmūnų trikampis“ bendrai naudojamų teritorijų ir viešosios infrastruktūros atnaujinimas";Y;N;24-FEB-16;24-FEB-16
3001527;"Kultūrinį-istorinį reformacijos paveldą reprezentuojančio Reformatų sodo atkūrimas ir sutvarkymas";Y;N;24-FEB-16;24-FEB-16
3001528;"Misionierių sodų atkūrimas";Y;N;24-FEB-16;24-FEB-16
3001529;"Naujamiesčio dviračių trasų, jų jungčių, saugos ir kitos infrastruktūros įrengimas palei J. Tumo-Vaižganto, V. Kudirkos, M. Valančiaus, V. Mykolaičio-Putino, Švitrigailos, Geležinkelio, Pylimo, Drujos gatves (4,0 km)";Y;N;24-FEB-16;24-FEB-16
3001530;"Gyvenamųjų kvartalų kiemų, pravažiavimo kelių, gatvių, automobilių stovėjimo aikštelių dangos kapitaliniam remontui, ženklinimui ir apšvietimo plėtrai";Y;N;14-MAR-08;12-MAY-08
3001531;"Požeminės pėsčiųjų perėjos per Pilaitės prospektą rekonstravimas	";Y;N;24-FEB-16;24-FEB-16
3001532;"T. Narbuto–Saltoniškių gatvių lietaus nuotekynės rekonstrukcija su valyklos ir taršos monitoringo mazgo įrengimu";Y;N;24-FEB-16;24-FEB-16
3001533;"Lietaus nuotekynės įrengimas Šeškinės komplekso prieigose	";Y;N;24-FEB-16;24-FEB-16
