Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
0000000	0000000	Nedetalizuojama	*			....Taip.LT13 704406000426 1365 LTL	
1000000	1000000	Administracijos sàmatos	*			.....	
1000001	1000001	Institucijos iðlaikymas (valdymo iðlaidos) (Administracija)	*			....Taip.	
1000002	1000002	Institucijos iðlaikymas (valdymo iðlaidos) (Taryba)	*			.....	
1000003	1000003	Institucijos iðlaikymas (valdymo iðlaidos) (Seniûnijos)	*			.....	
1000004	1000004	Civilinës bûklës aktø registravimas	*			.....	
1000005	1000005	Valstybës garantijø nuomininkams, iðsikeliantiems ið savininkams gràþintø gyvenamøjø namø ar jø daliø ir butø, vykdymas	*			.....	
1000006	1000006	Nuosavybës teisiø atkûrimo sprendimø priëmimas	*			.....	
1000007	1000007	Gyventojø gyvenamosios vietos deklaravimo duomenø ir gyvenamosios vietos neturinèiø asmenø apskaitos duomenø tvarkymas	*			.....	
1000008	1000008	Valstybinës kalbos prieþiûra	*			.....	
1000009	1000009	Valstybës archyvø irregistrø iðlaikymas bei saugojimas	*			.....	
1000010	1000010	Institucijos iðlaikymas (valdymo iðlaidos) (Tarybos sekretoriatas)	*			.....	
1000011	1000011	Karo prievolës ir mobilizacijos administravimas savivaldybëse	*			.....	
1000012	1000012	Kitos jokiai grupei nepriskirtos bendros valstybës paslaugos (Kitos iðlaidos)	*			.....	
1000013	1000013	Kompiuteriø ir duomenø apdorojimo tarnybø paslaugos ("KIS Savivaldybë")	*			.....	
1000014	1000014	Bendri darbo reikalai, darbo politikos formavimas ir ágyvendinimas (Vieðieji darbai)	*			....Taip.	
1000015	1000015	Institucijos iðlaikymas (valdymo iðlaidos) (Darbo uþmokesèio fondo rezervas)	*			.....	
1000016	1000016	Kompensacijø administravimas	*			.....	
1000017	1000017	Pirminë teisinë pagalba	*			.....	
1000018	1000018	Institucijos iðlaikymas (valdymo iðlaidos) (Administracinio pastato iðlaikymas)	*			.....	
1000019	1000019	Kompiuteriø ir duomenø apdorojimo tarnybø paslaugos (AD 2010-06-18 ásakymas Nr. 30-1445)	*			.....	
1000020	1000020	LR finansø ministerijos tarpusavio atsiskaitymai kompensacijoms uþ iðperkamà nekilnojamàjá turtà religinëms bendrijoms iðmokëti	*			.....	
1000021	1000021	LR finansø ministerijos tarpusavio atsiskaitymai valstybës garantijoms nuomininkams, gyvenantiems savininkams gràþintinuose gyvenamuose namuose, jø dalyse, butuose, vykdyti	*			.....	
1000022	1000022	Valstybës archyvø ir registrø iðlaikymas bei saugojimas (LR gyventojø registro ástatymu priskirto LR gyventojø registro tvarkymas ir duomenø teikimas valstybës registrui)	*			.....	
1000023	1000023	Institucijos iðlaikymas (valdymo iðlaidos) (Savivaldybës administracijos darbuotojø mokymo programa)	*			.....	
1000024	1000024	Rinkëjø registravimas, rinkimø ir referendumø rengimas	*			.....	
1000025	1000025	Þemës ûkio administravimas	*			.....	
1000026	1000026	LR finansø ministerijos tarpusavio atsiskaitymai savininkams uþ valstybës iðperkamus gyvenamuosius namus, jø dalis, butus atlyginti	*			.....	
1000027	1000027	Karo prievolës ir mobilizacijos administravimas savivaldybëse (mobilizacija)	*			.....	
1000028	1000028	Civilinës gynybos reikalø ir paslaugø administravimas	*			.....	
1000029	1000029	Civilinës bûklës aktø registravimas	*			.....	
1000030	1000030	Duomenø apie suteiktà valstybës pagalbà teikimas Suteiktos valstybës pagalbos registrui	*			.....	
1000031	1000031	Institucijos iðlaikymas (valdymo iðlaidos) (Finansø departamentas)	*			.....	
1000032	1000032	Savivaldybei priskirtos valstybinës þemës ir kito valstybës turto valdymas, naudojimas ir disponavimas juo patikëjimo teise	*			.....	
1000033	1000033	Institucijos iðlaikymas (valdymo iðlaidos) (Miesto plëtros departamentas)	*			.....	
1000034	1000034	Institucijos iðlaikymas (valdymo iðlaidos) (Miesto ûkio ir transporto departamentas)	*			.....	
1000035	1000035	Vaikø  teisiø apsauga	*			.....	
1000036	1000036	Institucijos iðlaikymas (valdymo iðlaidos) (Vaiko teisiø apsaugos skyrius)	*			.....	
1000037	1000037	Institucijos iðlaikymas (valdymo iðlaidos) (Sveikatos apsaugos skyrius)	*			.....	
1000038	1000038	Institucijos iðlaikymas (valdymo iðlaidos) (Socialiniø reikalø ir sveikatos departamentas)	*			.....	
1000039	1000039	Socialiniø iðmokø ir kompensacijø administravimas (Finansø departamentas)	*			.....	
1000040	1000040	Jaunimo teisiø apsauga	*			....Taip.	
1000041	1000041	Institucijos iðlaikymas (valdymo iðlaidos) (Ðvietimo, kultûros ir sporto departamentas)	*			.....	
1000042	1000042	Institucijos iðlaikymas (valdymo iðlaidos) (Ðvietimo skyrius)	*			.....	
1000043	1000043	Þemës ûkio administravimas	*			.....	
1000044	1000044	Departamentø mokesèiai	*			...Ne..	
1000045	1000045	Visuomenës informavimo priemoniø parengimas (AD 2010-10-29 ásakymas Nr. 30-1944)	*			.....	
1000046	1000046	Kitos aplinkos terðimo maþinimo priemonës (VDF)	*			.....	
1000047	1000047	Kitos aplinkos terðimo maþinimo priemonës (SB)	*			.....	
1000048	1000048	Kitos aplinkos terðimo maþinimo priemonës (AR)	*			.....	
1000049	1000049	Socialiniø iðmokø ir kompensacijø administravimas (Socialiniø iðmokø skyrius)	*			.....	
1000050	1000050	Ðalpos iðmokø administravimas (Socialiniø iðmokø skyrius)	*	2011-07-01		.....	
1000051	1000051	Iðmokø vaikams administravimas (Socialiniø iðmokø skyrius)	*	2011-07-01		.....	
1000052	1000052	Institucijos iðlaikymas (valdymo iðlaidos) (Aplinkos ir energetikos departamentas)	*			.....	
1000053	1000053	Socialinës globos teikimo asmenims su sunkia negalia paslaugos administravimas	*			.....	
1000054	1000054	Gyventojø gyvenamosios vietos deklaravimo duomenø ir gyvenamosios vietos neturinèiø asmenø apskaitos duomenø tvarkymas	*			.....	
1000055	1000055	Bendri darbo reikalai, darbo politikos formavimas ir ágyvendinimas (Vieðøjø darbø administravimas)	*			.....	
1000056	1000056	Institucijos iðlaikymas (valdymo iðlaidos) (Ekonomikos ir investicijø departamentas)	*			.....	
1000057	1000057	Socialinës paramos mokiniams administravimas	*			.....	
1000058	1000058	Bendri darbo reikalai, darbo politikos formavimas ir ágyvendinimas (Neágaliøjø socialinë integracija)	*			.....	
1000059	1000059	Gyventojø gyvenamosios vietos deklaravimo duomenø ir gyvenamosios vietos neturinèiø asmenø apskaitos duomenø tvarkymas	*			.....	
100005B	100005B	Nenaudojama				.....	
1000060	1000060	Bendrø ekonominiø ir socialiniø planavimo paslaugø administravimas ir valdymas (LR VT 7, 8 ir 24 straipsniø nuostatoms ágyvendinti)	*			.....	
1000061	1000061	Institucijos iðlaikymas (valdymo iðlaidos) (E. miesto departamentas)	*			.....	
1000062	1000062	Institucijos iðlaikymas (valdymo iðlaidos) (Saugaus miesto departamentas)	*			.....	
1000063	1000063	Institucijos iðlaikymas (valdymo iðlaidos)  (Mero fondas)	*			.....	
1000064	1000064	Finansø valdymo ir apskaitos sistema	*			.....	
1000065	1000065	Bendruomeniø kalëdiniø ir naujametiniø renginiø organizavimas seniûnijose (AD 2009-12-14 ásakymas Nr. 30-2172)	*			.....	
1000066	1000066	Vilniaus miesto savivaldybës administracijos tipiniø veiklos procesø ir procedûrø visapusiðkas tyrimas ir optimizavimas	*			.....	
1000067	1000067	Kompleksinis paslaugø teikimo „vieno langelio“ principu  tobulinimas	*			.....	
1000068	1000068	Vilniaus apskrities vyriausiojo policijos komisariato Patruliø rinktinës pareigûnø skatinimas (AD 2010-03-04 ásakymas Nr. 30-486)	*			.....	
1000070	1000070	Nenaudojama				.....	
1000072	1000072	Vieðosios tvarkos ir visuomenës saugumo mieste uþtikrinimas (AD 2010-05-18 ásakymas Nr. 30-1128)	*			.....	
1000073	1000073	Administracinio pastato remonto darbai (AD 2010-10-29 ásakymas Nr. 30-1944)	*			.....	
1000074	1000074	Renginio „Jonui Jablonskiui-150“ organizavimas (AD 2010-11-30 ásakymas Nr. 30-2086)	*			.....	
1000075	1000075	Elektroniniø paslaugø sistemos diegimas ir plëtra Vilniaus regione	*			.....	
1000076	1000076	2010-2011 metø nelegaliø grafitø prevencijos Vilniaus miesto savivaldybëje programos ágyvendinimas (AD 2011-04-21 ásakymas Nr. 30-648)	*			.....	
1000077	1000077	Saugaus miesto departamento veiklos vykdymas (AD 2011-06-30 ásakymas Nr. 30-891)	*			.....	
1000078	1000078	Socialiniø iðmokø ir kompensacijø administravimas	*			.....	
1000079	1000079	Socialiniø iðmokø ir kompensacijø administravimas (LRV 2011-08-17 nutarimas Nr. 960)	*			.....	
1000080	1000080	Socialiniø iðmokø ir kompensacijø administravimas (LRV 2011-10-12 nutarimas Nr. 1200)	*			.....	
1000081	1000081	Socialiniø iðmokø ir kompensacijø administravimas (LRV 2011-10-19 nutarimas Nr. 1207)	*			.....	
